No.of Samples,Serial,2 Cores,3 Cores,4 Cores,6 Cores,8 Cores
500,0.03280352034,0.1696836522,0.1240487643,0.1081530357,0.1088205984,0.09290096814
1000,0.1276899008,0.169807023,0.1580878586,0.1478180092,0.1776575526,0.1836206261
5000,0.6786201403,0.398549862,0.2332783921,0.3048646001,0.2248541514,0.2278255508
10000,1.17679915,0.6212995695,0.4330985462,0.3279723215,0.3710658311,0.2519835088
50000,6.83519494,2.96046755,1.874552769,1.582210452,1.208425241,1.58387674
100000,12.130214,4.811345372,3.708052333,3.27136087,2.709837269,2.388149758
200000,24.46602324,12.7425474,10.60442941,7.002830255,5.640168944,4.272472052
300000,42.41972491,16.82470241,11.57335777,11.52349721,7.530620976,8.01251969
400000,58.68094599,25.28937983,16.02389465,14.99553445,11.34440619,9.266652854
500000,115.5661905,30.19244578,21.59956076,21.51610294,18.64539093,14.72696448
